mobbtput,time
2310,0.26
2310,0.26
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.26
2310,0.25
2310,0.25
2310,0.25
3827,0.26
3827,0.25
3827,0.25
3827,0.25
3827,0.25
3827,0.25
3827,0.27
3827,0.25
3828,0.26
3828,0.25
3850,0.25
3850,0.26
3850,0.26
3850,0.25
3850,0.25
3850,0.26
3850,0.25
3850,0.26
3850,0.25
3850,0.25
3850,0.25
3850,0.25
3850,0.25
2310,0.26
2999,0.25
1155,0.26
1155,0.26
2310,0.25
385,0.25
770,0.25
2310,0.26
2310,0.25
2310,0.26
2310,0.26
2310,0.26
2310,0.25
2310,0.25
2310,0.25
2310,0.25
3805,0.25
3805,0.26
3805,0.26
3805,0.25
3805,0.25
3805,0.26
3805,0.25
3805,0.25
3805,0.25
3805,0.25
3805,0.27
3805,0.26
3805,0.25
3827,0.26
3827,0.25
3827,0.25
3827,0.26
3683,0.27
3683,0.26
3683,0.25
3683,0.25
3683,0.24
3683,0.25
3683,0.25
3683,0.26
3683,0.25
3683,0.25
3683,0.25
3683,0.25
2310,0.26
2310,0.25
2310,0.25
2310,0.26
3827,0.25
3827,0.25
3827,0.27
2310,0.25
2786,0.26
2983,0.25
2983,0.25
2983,0.26
2983,0.25
2983,0.25
2983,0.25
2983,0.26
3064,0.26
3064,0.25
3064,0.25
3064,0.25
3064,0.26
2943,0.25
2943,0.25
2943,0.27
2943,0.25
2943,0.25
3047,0.25
3047,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
962,0.25
962,0.26
962,0.25
962,0.26
2310,0.25
2310,0.26
2310,0.26
2310,0.26
2310,0.25
2310,0.26
2310,0.25
2252,0.26
3661,0.25
3661,0.25
3661,0.26
3661,0.27
3661,0.25
3661,0.25
3661,0.25
3661,0.25
3661,0.25
3661,0.25
0,0.25
1859,0.25
1155,0.26
2310,0.25
2310,0.25
2310,0.26
2310,0.25
2310,0.26
1540,0.26
3738,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.26
2310,0.26
2310,0.26
3610,0.25
3610,0.25
3610,0.25
3610,0.25
3610,0.25
3610,0.26
2975,0.25
2289,0.26
2941,0.25
2941,0.26
2941,0.26
2310,0.25
2310,0.25
2310,0.26
2310,0.26
2310,0.27
2310,0.25
2310,0.25
2310,0.25
2310,0.26
2310,0.26
2310,0.26
2310,0.25
2310,0.25
2310,0.26
2310,0.26
2310,0.26
2310,0.26
2310,0.25
2310,0.25
2310,0.25
2310,0.26
2310,0.26
2310,0.25
2310,0.26
2310,0.25
1925,0.25
1144,0.26
2310,0.25
2310,0.26
2310,0.25
3786,0.25
3786,0.25
3786,0.25
3786,0.25
3786,0.26
3786,0.25
3786,0.25
3786,0.25
3786,0.25
3806,0.26
3806,0.25
3806,0.25
3806,0.25
3850,0.25
3850,0.25
3850,0.25
3850,0.25
3850,0.26
3850,0.25
3850,0.25
3850,0.26
3850,0.25
3850,0.26
3850,0.25
3850,0.25
3850,0.26
3850,0.25
3850,0.25
3850,0.25
2310,0.27
2310,0.25
2310,0.26
2310,0.25
2310,0.26
2310,0.25
2310,0.27
2310,0.26
2310,0.25
2310,0.25
2310,0.25
2310,0.26
3723,0.26
3723,0.25
3723,0.26
3723,0.26
3723,0.25
3723,0.25
3723,0.26
3723,0.26
3723,0.26
2310,0.25
1155,0.25
3807,0.26
3807,0.25
3807,0.25
3807,0.25
2310,0.25
3741,0.25
3741,0.25
3741,0.25
3741,0.25
3741,0.26
3741,0.25
3741,0.25
3741,0.25
3741,0.26
3741,0.26
3741,0.26
3741,0.25
3741,0.25
3762,0.25
3762,0.25
3762,0.25
3762,0.25
3762,0.25
3762,0.25
3762,0.25
3762,0.25
3762,0.26
3762,0.25
3762,0.25
3762,0.26
3762,0.25
3762,0.25
3762,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
3760,0.25
2310,0.26
2310,0.25
2310,0.25
2310,0.25
2310,0.25
1476,0.25
1155,0.25
1128,0.26
1155,0.25
1155,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.26
2310,0.25
2310,0.26
2310,0.25
3785,0.25
3785,0.25
3785,0.25
3785,0.25
3785,0.25
3785,0.26
3785,0.25
3785,0.26
3785,0.25
3785,0.25
3785,0.25
3785,0.26
3785,0.25
3786,0.25
3786,0.26
3786,0.25
3786,0.25
3786,0.25
3047,0.26
3047,0.26
3047,0.25
3047,0.25
3047,0.26
3047,0.26
3047,0.25
2913,0.25
2913,0.26
2913,0.25
2913,0.26
2913,0.25
2913,0.25
2913,0.26
2913,0.25
2913,0.26
2913,0.26
2913,0.26
2913,0.26
2310,0.25
2310,0.26
2310,0.25
2310,0.26
2310,0.26
2858,0.25
2858,0.25
962,0.25
962,0.26
962,0.26
2310,0.26
2310,0.26
2310,0.25
2310,0.25
2310,0.25
2310,0.27
2310,0.25
2310,0.26
2310,0.25
2310,0.25
2310,0.26
2310,0.26
3828,0.25
3828,0.26
3828,0.25
3828,0.26
3828,0.25
3828,0.25
3828,0.25
3785,0.26
3785,0.25
3785,0.25
3785,0.26
3785,0.25
2977,0.25
3720,0.26
3720,0.26
3720,0.25
3760,0.25
3760,0.26
3805,0.25
3805,0.25
3805,0.25
3805,0.25
3805,0.26
3805,0.26
3805,0.26
3805,0.25
3827,0.25
3827,0.25
3064,0.25
2310,0.26
2310,0.26
1155,0.25
1526,0.25
1155,0.26
2902,0.25
2902,0.25
2310,0.26
1155,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2310,0.25
2965,0.25
2310,0.25
2310,0.26
2310,0.25
2310,0.26
2310,0.25
0,0.27
2310,0.26
2310,0.26
2310,0.25
2310,0.25
2310,0.25
2969,0.26
2969,0.25
2969,0.26
2969,0.26
2969,0.26
2969,0.25
2969,0.25
2969,0.26
2969,0.26
2969,0.25
2969,0.25
2969,0.25
2969,0.26
3827,0.25
